äwê–î‘çÜ,ëÊ1âÒ,ëÊ2âÒ,ëÊ3âÒ,ëÊ4âÒ,ëÊ5âÒ,íÜä‘,ä˙ññ
TP16001,10,8,10,10,10,90,86
TP16002,10,10,10,10,10,100,92
TP16003,10,5,10,7.5,7.5,99,80
TP16004,0,0,10,8.75,9,90,95
TP16005,10,8,10,7.5,10,100,85
TP16006,10,8,10,10,10,60,88
TP16007,10,0,10,0,0,88,94
TP16008,10,0,10,7.5,10,69,95
TP16009,10,10,10,10,10,95,95
TP16010,10,10,10,7.5,5,58,92
TP16011,5,5,10,10,10,86,86
TP16012,0,8,10,0,9,58,82
TP16013,0,0,0,0,0,0,0
TP16014,10,0,10,2.5,5,62,61
TP16015,10,8,10,7.5,10,60,72
TP16016,10,10,10,10,5,80,98
TP16017,10,8,10,7.5,7.5,80,97
TP16018,10,10,10,7.5,10,94,97
TP16019,5,6,10,7.5,7.5,34,81
TP16020,10,8,10,10,5,59,76
TP16021,5,8,10,7.5,0,80,74
TP16022,5,10,0,10,10,58,80
TP16023,10,10,10,7.5,10,70,81
TP16024,0,10,10,6.25,10,95,88
TP16025,10,8,10,10,0,48,83
TP16026,10,5,10,10,4,100,83
TP16027,10,10,10,10,5,95,96
TP16028,10,8,10,7.5,10,98,91
TP16029,0,0,0,6.25,0,58,0
TP16030,10,10,10,7.5,5,48,60
TP16031,10,10,10,7.5,2.5,100,95
TP16032,10,10,0,0,0,60,98
TP16033,10,0,10,6.25,10,74,74
TP16034,10,10,10,10,0,59,91
TP16035,10,8,10,10,5,76,77
TP16036,0,0,0,0,0,0,0
TP16037,10,8,10,7.5,5,100,82
TP16038,10,0,10,10,7.5,93,91
TP16039,10,10,10,7.5,7.5,89,74
TP16040,10,8,10,10,10,55,97
TP16041,10,10,10,10,10,79,91
TP16042,10,8,10,7.5,10,97,92
TP16043,10,10,10,10,10,76,73
TP16044,5,10,0,7.5,5,54,71
TP16045,10,8,10,7.5,10,79,86
TP16046,10,0,10,7.5,5,69,85
TP16047,10,10,10,7.5,10,43,92
TP16048,10,10,10,10,7.5,77,95
TP16049,10,5,10,7.5,10,44,72
TP16050,10,8,10,2.5,10,78,81
TP16051,5,8,10,8.75,10,69,85
TP16052,10,10,10,7.5,10,89,84
TP16053,5,8,10,7.5,10,79,91
TP16054,10,10,10,10,0,60,94
TP16055,10,10,10,8.75,7.5,100,88
TP16056,5,10,10,10,5,69,88
TP16057,10,10,10,7.5,0,90,85
TP16058,10,10,10,10,10,88,91
TP16059,5,0,10,7.5,5,39,43
TP16060,0,1,10,0,5,80,78
TP16061,10,8,10,6.25,10,71,82
TP16062,10,8,10,10,10,74,96
TP16063,0,0,0,0,0,18,0
TP16064,10,8,10,10,6.5,98,80
TP16065,10,10,10,10,5,100,97
TP16066,0,0,0,0,0,0,0
TP16067,10,5,10,10,10,80,89
TP16068,0,0,10,5,6.5,60,85
TP16069,10,10,10,6.25,9,89,72
TP16070,10,8,10,7.5,10,75,83
TP16071,10,5,10,3.75,10,69,74
TP16072,10,1,10,7.5,10,100,100
TP16073,10,5,10,10,0,50,68
TP16074,10,10,10,2.5,5,60,79
TP16075,0,0,0,0,0,68,51
TP16076,10,10,10,0,10,60,86
TP16077,10,10,10,10,7.5,100,96
TP16078,10,8,10,7.5,4,40,68
TP16079,10,10,10,7.5,10,90,87
TP16080,10,8,10,7.5,10,84,94
TP16081,10,10,10,10,10,98,100
TP16082,10,10,6.666666667,0,10,72,92
TP16083,0,1,10,10,7.5,76,86
TP16084,10,10,10,10,10,78,92
TP16085,10,8,10,10,6.5,85,86
TP16086,10,10,10,10,10,100,98
TP16087,10,5,10,7.5,7.5,98,85
TP16088,10,5,10,10,7.5,75,93
TP16089,10,5,10,7.5,4,85,71
TP16090,10,10,10,7.5,10,79,82
TP16091,10,10,10,10,10,60,89
TP16092,0,0,0,0,0,0,0
TP16093,10,10,10,10,10,90,91
TP16094,10,8,10,7.5,10,89,88
TP16095,10,10,10,0,0,78,86
TP16096,10,6,10,10,2.5,60,88
TP16097,10,8,10,6.25,10,56,92
TP16098,10,6,10,6.25,5,44,63
TP16099,10,0,10,7.5,10,90,51
TP16100,0,8,0,10,10,47,55
TP16101,0,8,10,10,7.5,95,87
TP16102,10,5,10,10,7.5,98,80
TP16103,5,5,10,0,0,30,0
TP16104,0,0,10,7.5,5,96,96
TP16105,0,8,0,3.75,10,90,78
TP16106,10,0,6.666666667,2.5,2.5,95,96
TP16107,10,10,10,10,5,93,85
TP16108,10,10,10,10,7.5,88,92
TP16109,10,5,10,7.5,5,99,82
TP16110,10,10,10,7.5,10,90,84
TP16111,10,8,10,6.25,10,75,79
TP16112,10,8,10,7.5,5,70,55
TP16113,10,8,10,5,5,81,69
TP16114,10,10,10,5,10,99,91
TP16115,0,0,0,0,0,0,0
TP16116,10,8,10,7.5,10,79,91
TP16117,10,10,10,10,7.5,90,93
TP16118,0,0,0,0,0,36,0
TP16119,10,8,10,3.75,10,77,61
TP16120,10,10,10,10,10,65,82
TP16121,10,10,10,7.5,5,48,75
